id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa01100	hsa01100	0	384	130	10.0	130	0	0.425853939072948
hsa00830	hsa00830	0	19	15	9.073652350176515	15	0	0.801553936533942
hsa00982	hsa00982	0	21	16	8.956775378880273	16	0	0.773034614432632
hsa05204	hsa05204	0	19	12	7.345453791922955	12	0	0.759588493247132
hsa04976	hsa04976	0	28	17	7.270789458631003	17	0	0.673496515562446
hsa00980	hsa00980	0	17	11	6.767356500629452	11	0	0.759283223094712
hsa00590	hsa00590	0	12	8	5.420245984864623	8	0	0.771940677875689
hsa01240	hsa01240	0	34	15	4.943748948299948	15	0	0.562033878043795
hsa00380	hsa00380	0	15	12	4.543082640892397	12	0	0.711284018402913
hsa01230	hsa01230	0	29	12	4.348722255304107	12	0	0.566761361152657
hsa00350	hsa00350	0	12	7	4.263943527407179	7	0	0.724976874184984
hsa02010	hsa02010	0	19	16	4.089291874598681	16	0	0.646018900646411
hsa00140	hsa00140	0	15	9	4.000882074857783	9	0	0.685594242515134
hsa04936	hsa04936	0	35	13	3.9034951507188564	13	0	0.516820501946986
hsa04152	hsa04152	0	47	13	3.8822685382398014	13	0	0.467323708709945
hsa04610	hsa04610	0	38	18	3.852727037229942	18	0	0.494274575631275
hsa01200	hsa01200	0	37	13	3.5708980646617094	13	0	0.50361991036505
hsa00260	hsa00260	0	13	6	3.3686249821822107	6	0	0.672817885380092
hsa04922	hsa04922	0	26	10	3.217798064476433	10	0	0.547617276268837
hsa00983	hsa00983	0	21	11	3.2275919003976306	11	0	0.583676518682212
hsa05168	hsa05168	0	98	70	2.983510562957433	0	70	-0.324018164112871
hsa04512	hsa04512	0	12	7	2.836207524838788	0	7	-0.634448061232961
hsa00230	hsa00230	0	23	9	2.7222008900029757	9	0	0.533650259639517
hsa00270	hsa00270	0	20	7	2.702908494282439	7	0	0.542691163805171
hsa00280	hsa00280	0	13	10	2.6724049592869137	10	0	0.624490144463763
hsa00010	hsa00010	0	13	6	2.5448282520337537	6	0	0.614109075812224
hsa00120	hsa00120	0	10	9	2.461554474586545	9	0	0.665591183845987
hsa00220	hsa00220	0	12	6	2.462388854251271	6	0	0.616455781994541
hsa05322	hsa05322	0	12	6	2.3454478352078043	6	0	0.603643728962563
hsa04910	hsa04910	0	36	8	2.309034201918011	8	0	0.41430753867786
hsa00620	hsa00620	0	15	9	2.2103543759764226	9	0	0.578779821441716
hsa04918	hsa04918	0	19	16	2.207734728381844	0	16	-0.524713473244055
hsa05110	hsa05110	0	16	13	2.1845658788735602	0	13	-0.540335927091442
hsa04931	hsa04931	0	29	9	2.1868027926236167	9	0	0.454911735386683
hsa05207	hsa05207	0	49	16	2.2285258916577244	16	0	0.368898507756638
