id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa05410	Human Diseases	0	155	12	6.863470438698362	12	0	0.07741935483870968
hsa05414	Human Diseases	0	155	11	5.690542741437556	11	0	0.07096774193548387
hsa05412	Human Diseases	0	155	10	5.634493832825498	10	0	0.06451612903225806
hsa04260	Organismal Systems	0	155	9	4.7026639715099465	9	0	0.05806451612903226
hsa04512	Environmental Information Processing	0	155	9	4.622460691311258	9	0	0.05806451612903226
hsa04820	NA	0	155	12	3.1190291587119816	12	0	0.07741935483870968
hsa04310	Environmental Information Processing	0	155	10	3.0240122223362	10	0	0.06451612903225806
hsa05222	Human Diseases	0	155	7	2.9228978039428872	7	0	0.04516129032258064
hsa04360	Organismal Systems	0	155	10	2.839717291017519	10	0	0.06451612903225806
hsa04971	Organismal Systems	0	155	6	2.6780088493038927	6	0	0.03870967741935484
hsa04961	Organismal Systems	0	155	5	2.645260310121657	5	0	0.03225806451612903
