id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa00830	hsa00830	0	19	15	9.076973930282946	0	15	-0.801553936533942
hsa00982	hsa00982	0	21	16	8.960103322229202	0	16	-0.773034614432632
hsa05204	hsa05204	0	19	13	7.348775372029387	0	13	-0.759588493247132
hsa04976	hsa04976	0	28	17	7.27323619457809	0	17	-0.673496515562446
hsa00980	hsa00980	0	17	12	6.787213421217191	0	12	-0.759283223094712
hsa00590	hsa00590	0	12	8	5.413525626676915	0	8	-0.771940677875689
hsa01240	hsa01240	0	34	20	4.943748948299948	0	20	-0.562033878043795
hsa00380	hsa00380	0	15	12	4.5255919087320615	0	12	-0.711284018402913
hsa01230	hsa01230	0	29	12	4.35779616429963	0	12	-0.566761361152657
hsa00350	hsa00350	0	12	7	4.25722316921947	0	7	-0.724976874184984
hsa02010	hsa02010	0	19	16	4.092613454705113	0	16	-0.646018900646411
hsa00140	hsa00140	0	15	9	3.983391342697448	0	9	-0.685594242515134
hsa04936	hsa04936	0	35	13	3.8953467975862806	0	13	-0.516820501946986
hsa04152	hsa04152	0	47	13	3.855265303857246	0	13	-0.467323708709945
hsa04610	hsa04610	0	38	18	3.846280989662325	0	18	-0.494274575631275
hsa01200	hsa01200	0	37	13	3.5538328493687943	0	13	-0.50361991036505
hsa00260	hsa00260	0	13	8	3.3587354964551634	0	8	-0.672817885380092
hsa00983	hsa00983	0	21	12	3.2309198437465585	0	12	-0.583676518682212
hsa04922	hsa04922	0	26	10	3.2136892875487026	0	10	-0.547617276268837
hsa05168	hsa05168	0	98	70	3.0108847355944324	70	0	0.324018164112871
hsa04512	hsa04512	0	12	7	2.8433713075885745	7	0	0.634448061232961
hsa00230	hsa00230	0	23	9	2.726356849774132	0	9	-0.533650259639517
hsa00270	hsa00270	0	20	7	2.712069407867775	0	7	-0.542691163805171
hsa00280	hsa00280	0	13	12	2.662515473559866	0	12	-0.624490144463763
hsa00010	hsa00010	0	13	8	2.5349387663067064	0	8	-0.614109075812224
hsa00220	hsa00220	0	12	6	2.4556684960635615	0	6	-0.616455781994541
hsa00120	hsa00120	0	10	9	2.461554474586545	0	9	-0.665591183845987
hsa05322	hsa05322	0	12	6	2.3387274770200963	0	6	-0.603643728962563
hsa04910	hsa04910	0	36	12	2.2936807981183924	0	12	-0.41430753867786
hsa04918	hsa04918	0	19	16	2.204108031048126	16	0	0.524713473244055
hsa00620	hsa00620	0	15	9	2.192863643816087	0	9	-0.578779821441716
hsa04931	hsa04931	0	29	12	2.19587670161914	0	12	-0.454911735386683
hsa05207	hsa05207	0	49	16	2.205474662696611	0	16	-0.368898507756638
hsa05110	hsa05110	0	16	13	2.166467656780764	13	0	0.540335927091442
