id	category	gene_num.min	gene_num.max	gene_num.rich	-log10Pvalue	up.regulated	down.regulated	rich.factor
hsa01100	hsa01100	0	248	110	10.0	110	0	0.439447621771029
hsa00982	hsa00982	0	15	8	6.922158310017703	8	0	0.759500013266469
hsa04610	hsa04610	0	33	22	6.377067986167286	22	0	0.594557331309046
hsa00830	hsa00830	0	16	9	6.054368832859335	9	0	0.742725110658577
hsa01200	hsa01200	0	29	18	5.369926242119979	18	0	0.591728137886924
hsa00260	hsa00260	0	12	7	4.863752653742027	7	0	0.747515488823252
hsa04512	hsa04512	0	13	9	4.481083245541507	0	9	-0.734769569815436
hsa01240	hsa01240	0	25	18	4.4083548184324375	18	0	0.567242791883805
hsa00980	hsa00980	0	13	9	4.277625835231926	9	0	0.708045337879182
hsa00590	hsa00590	0	10	7	4.128763958629158	7	0	0.736829562701799
hsa04260	hsa04260	0	19	9	4.058096147736744	0	9	-0.6316460441676
hsa05204	hsa05204	0	13	7	3.925616980620505	7	0	0.693549382086607
hsa00380	hsa00380	0	15	11	3.453644461635527	11	0	0.612966577170563
hsa04152	hsa04152	0	29	11	3.4212788918214327	11	0	0.498068937155347
hsa01230	hsa01230	0	21	13	3.3010659461686105	13	0	0.544651835227916
hsa04910	hsa04910	0	23	8	3.146703470359565	8	0	0.520220038703671
hsa04922	hsa04922	0	20	9	3.0823705420014798	9	0	0.550359246343081
hsa00270	hsa00270	0	12	8	3.044736701107239	8	0	0.643519732694176
hsa05222	hsa05222	0	15	10	3.0293683363561072	0	10	-0.611742150899789
hsa05414	hsa05414	0	25	18	3.030352615961047	0	18	-0.516940499309225
hsa04310	hsa04310	0	24	12	2.992376437369707	0	12	-0.529316149440312
hsa04146	hsa04146	0	20	11	2.784136381129432	11	0	0.530692651943113
hsa05410	hsa05410	0	26	15	2.7535258745018516	0	15	-0.50524423463284
hsa04360	hsa04360	0	24	10	2.770531071603425	0	10	-0.515083881184936
hsa00010	hsa00010	0	17	4	2.7164705477591102	4	0	0.55137007081087
hsa05412	hsa05412	0	22	17	2.6443248730514	0	17	-0.541858151590391
hsa04971	hsa04971	0	13	10	2.4968820300963364	0	10	-0.616942295154175
hsa05207	hsa05207	0	27	18	2.2817404606983915	18	0	0.461784048279728
hsa00630	hsa00630	0	11	9	2.2841137188907465	9	0	0.60270290030545
hsa00230	hsa00230	0	15	10	2.289609541660071	10	0	0.538273025703958
hsa00350	hsa00350	0	11	8	2.236143619589402	8	0	0.598194569256976
hsa04931	hsa04931	0	23	7	2.1280523478636635	7	0	0.44671612745447
