#gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	ENTREZID
CYP2C8	0	2.37668486353468	0.799	0.151	0	1558
ADRA1A	2.48546493458265e-248	2.36742055975382	0.677	0.096	8.45704298641093e-244	148
CYP2B6	1.6027614447017e-253	2.32602954297734	0.746	0.157	5.45355609174201e-249	1555
ESR1	2.81380730877044e-275	2.32513353388562	0.734	0.145	9.5742607488223e-271	2099
PDE7B	5.7849974715729e-115	2.16891915143133	0.416	0.054	1.9684032396774e-110	27115
GHR	6.0893618516971e-270	2.13320839717468	0.816	0.371	2.07196626365846e-265	2690
CYP3A4	4.55091509912697e-132	2.0502080204638	0.501	0.093	1.54849437162894e-127	1576
IL1RAPL2	1.02258625533443e-169	2.04052321424255	0.533	0.07	3.47945199240095e-165	26280
C9	4.55126546314547e-191	2.0152154044591	0.609	0.101	1.54861358648988e-186	735
TPRG1	2.15770460419897e-199	1.99414466265985	0.673	0.186	7.34180568624742e-195	285386
TENM2	2.4515312000693e-157	1.97054289263267	0.617	0.234	8.34158006135581e-153	57451
CYP2C9	6.23169361840316e-237	1.95690485433657	0.749	0.22	2.12039607059786e-232	1559
FOXO1	5.6668607565318e-123	1.95639145063655	0.658	0.374	1.92820604101751e-118	2308
BHMT	5.34812428734363e-163	1.91427477327737	0.644	0.247	1.81975277001155e-158	635
TAT	9.65122784658225e-169	1.88200209796746	0.588	0.111	3.28392678707808e-164	6898
PCK1	2.70097024652019e-162	1.87880892916397	0.608	0.158	9.19032136080959e-158	5105
FGGY	7.72511250632234e-209	1.87434633318042	0.71	0.27	2.62854678140124e-204	55277
PSD3	1.09466130755036e-296	1.87304932991694	0.871	0.471	3.72469456507085e-292	23362
ACSM2B	8.94903999856606e-230	1.87194956306626	0.77	0.327	3.04500034991209e-225	348158
ACSL1	3.14041830458507e-155	1.86224334834053	0.709	0.41	1.06855873231812e-150	2180
ACSM2A	1.43850918036282e-247	1.84830776062333	0.8	0.343	4.89467133710254e-243	123876
FKBP5	2.02058151881493e-104	1.84659311440978	0.577	0.238	6.87523067591969e-100	2289
PRKAG2	3.44107252981166e-231	1.82830421326147	0.768	0.379	1.17085933899372e-226	51422
SDS	4.38380543749547e-137	1.82752087704097	0.528	0.106	1.49163363816221e-132	10993
CYP2C19	3.97743070553073e-127	1.82342110493363	0.455	0.073	1.35336057186389e-122	1557
EBNA1BP2	1.87165860848145e-185	1.79739381361609	0.605	0.107	6.36850558121897e-181	10969
SHROOM3	1.36653094264011e-156	1.7503267705318	0.652	0.284	4.64975818542724e-152	57619
LINC01818	1.94127089249805e-135	1.73334697479589	0.46	0.056	6.60536833881385e-131	105373684
GPHN	3.90559260422904e-244	1.72959677516113	0.893	0.67	1.32891693951497e-239	10243
ZBTB16	2.02935669831905e-116	1.71543934365258	0.648	0.354	6.90508910170041e-112	7704
ABCB11	1.86716790341333e-197	1.71332836911104	0.686	0.165	6.35322550815419e-193	8647
SLC7A2	5.7422874068094e-130	1.70601592900116	0.666	0.384	1.95387071304097e-125	6542
INSIG1	1.01668542307984e-134	1.70556414738693	0.538	0.135	3.45937382057146e-130	3638
ADH4	4.7141756666635e-105	1.68540001843272	0.544	0.253	1.60404541233892e-100	127
CYP2C18	5.77446263326386e-152	1.68231861469909	0.55	0.125	1.96481865559436e-147	1562
PPARGC1A	1.57826003011621e-172	1.68015371483323	0.713	0.331	5.37018757847342e-168	10891
CPED1	9.32487040477305e-134	1.66788813757455	0.456	0.056	3.17288040392808e-129	79974
GDA	6.24489812188841e-145	1.64390294356354	0.537	0.127	2.12488903495375e-140	9615
LINC00907	6.65341669164011e-48	1.64360222326203	0.248	0.056	2.26389156349746e-43	284260
SLC4A4	1.27763258299988e-148	1.62373941235407	0.526	0.084	4.3472726269154e-144	8671
CYP3A5	3.56090028899743e-210	1.61714546767414	0.887	0.721	1.21163193233426e-205	1577
MAGI2	1.30591539760959e-118	1.61109596057356	0.461	0.084	4.4435077319064e-114	9863
KMO	3.94304328125957e-62	1.60624369456193	0.333	0.098	1.34165990688138e-57	8564
TIAM1	1.43096137489117e-139	1.59837916404349	0.498	0.079	4.8689891742047e-135	7074
FBP1	4.48248298489389e-131	1.59449547331398	0.588	0.248	1.52520966044e-126	2203
UPB1	5.5078757923604e-164	1.59037787405028	0.656	0.24	1.87410981710855e-159	51733
P4HA1	1.5823180652424e-57	1.59017205344643	0.469	0.259	5.3839954487938e-53	5033
AASS	5.07654752309173e-147	1.58634290191727	0.549	0.107	1.72734606020719e-142	10157
CYP2A7	2.60603918406483e-119	1.58570242318753	0.446	0.059	8.86730892769899e-115	1549
BAAT	2.86671676636122e-150	1.58524849249988	0.75	0.506	9.75429046922069e-146	570
LINC00598	2.20344001511983e-59	1.57720576504278	0.306	0.079	7.49742499544672e-55	646982
ASS1	1.60379301091248e-125	1.56784122771013	0.645	0.315	5.45706609893079e-121	445
