#gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	ENTREZID
ADRA1A	0	1.83672109530664	0.677	0.211	0	148
CYP2B6	0	1.78370649424415	0.746	0.282	0	1555
ALDOB	0	1.75417320392922	0.76	0.331	0	229
SDS	0	1.68446601881208	0.528	0.187	0	10993
PDE7B	0	1.64570378065983	0.416	0.121	0	27115
CYP2C8	0	1.60174332684205	0.799	0.384	0	1558
TAT	0	1.59520123569429	0.588	0.215	0	6898
GHR	0	1.5634819841823	0.816	0.503	0	2690
ESR1	0	1.54720770042478	0.734	0.376	0	2099
C9	0	1.54353639735394	0.609	0.244	0	735
BHMT	0	1.53606966180666	0.644	0.314	0	635
ADH4	0	1.50289115496879	0.544	0.249	0	127
ACSL1	0	1.46828313303063	0.709	0.49	0	2180
FBP1	0	1.46591096160566	0.588	0.209	0	2203
PCK1	0	1.42098330397831	0.608	0.311	0	5105
CYP2A7	0	1.40884983132815	0.446	0.162	0	1549
SLC7A2	0	1.38950626986135	0.666	0.413	0	6542
PRKAG2	0	1.38801808935234	0.768	0.464	0	51422
ASS1	0	1.38685547541186	0.645	0.383	0	445
LINC00907	0	1.35534089247816	0.248	0.108	0	284260
CYP2C9	0	1.3129055804875	0.749	0.51	0	1559
APBA1	0	1.29163103901436	0.581	0.28	0	320
KMO	0	1.28982560592003	0.333	0.11	0	8564
CYP3A5	0	1.28223859987658	0.887	0.797	0	1577
CPS1	0	1.27377041369615	0.906	0.714	0	1373
PIK3C2G	0	1.27142134748621	0.626	0.281	0	5288
CTNNA3	0	1.26246384835655	0.53	0.267	0	29119
SLC38A4	0	1.2564227379526	0.602	0.373	0	55089
LINC02027	0	1.25456287927939	0.403	0.119	0	728290
WDR72	0	1.25303450090487	0.403	0.167	0	256764
LINC01818	0	1.25186314899295	0.46	0.181	0	105373684
SHROOM3	0	1.24835563039198	0.652	0.381	0	57619
CYP2C19	0	1.2421007591676	0.455	0.197	0	1557
PDLIM5	0	1.23555838038778	0.639	0.414	0	10611
C6	0	1.21731354099843	0.501	0.18	0	729
SORL1	0	1.20462813285866	0.633	0.363	0	6653
FOXO1	0	1.20127740868435	0.658	0.577	0	2308
TIAM1	0	1.1974252576664	0.498	0.196	0	7074
MLIP	0	1.18984316555178	0.425	0.187	0	90523
CYP2C18	0	1.18007232239152	0.55	0.274	0	1562
SORBS2	0	1.18001488163778	0.878	0.748	0	8470
LINC00598	0	1.17758583309845	0.306	0.164	0	646982
BAAT	0	1.16076307941325	0.75	0.547	0	570
CPED1	0	1.15927577903907	0.456	0.191	0	79974
INSIG1	0	1.15371902827714	0.538	0.328	0	3638
CYP2A6	0	1.13396442192605	0.427	0.15	0	1548
SLC22A1	0	1.13054474811125	0.411	0.133	0	6580
AFM	0	1.12987606615894	0.734	0.416	0	173
ARHGEF26	0	1.11899537477064	0.503	0.305	0	26084
PSD3	0	1.11172680676717	0.871	0.725	0	23362
ASL	0	1.10569011770144	0.622	0.432	0	435
CP	0	1.10560240453737	0.74	0.505	0	1356
UGP2	0	1.0948695527315	0.544	0.376	0	7360
ARG1	0	1.08845878807538	0.48	0.203	0	383
ZNF385B	0	1.07754000290009	0.527	0.291	0	151126
FOXP2	0	1.05907881660935	0.496	0.282	0	93986
IL1RAP	0	1.04416143338587	0.486	0.327	0	3556
NNMT	0	1.04209146819452	0.381	0.194	0	4837
ACACB	0	1.03776719679297	0.649	0.431	0	32
HAL	0	1.03714353824561	0.413	0.226	0	3034
BCO2	0	1.03613179522189	0.364	0.108	0	83875
AGXT	0	1.0355160802349	0.651	0.393	0	189
RNF152	0	1.03530957268019	0.516	0.312	0	220441
IL1RAPL2	0	1.0291363721727	0.533	0.338	0	26280
GDA	0	1.02161102322234	0.537	0.293	0	9615
PLG	0	1.02099693139111	0.789	0.546	0	5340
PCSK6	0	1.01724743103844	0.783	0.661	0	5046
MIR99AHG	0	1.01682936293366	0.658	0.456	0	388815
SCP2	0	1.01670729165721	0.724	0.574	0	6342
TMEM131L	0	1.00974655773509	0.541	0.313	0	23240
FGGY	0	1.00411047988454	0.71	0.546	0	55277
ADK	0	0.999511959520083	0.878	0.785	0	132
MYO1E	0	0.980283080246551	0.577	0.386	0	4643
SLC22A25	0	0.979718519375744	0.471	0.272	0	387601
ADGRA3	0	0.97758868567519	0.624	0.485	0	166647
TDO2	0	0.977423186871635	0.383	0.191	0	6999
GYS2	0	0.976010080578883	0.376	0.138	0	2998
LONP2	0	0.972835671126328	0.659	0.509	0	83752
SLC28A1	0	0.970878273020443	0.411	0.19	0	9154
ABLIM3	0	0.96937797990914	0.487	0.339	0	22885
HMGCS2	0	0.966573050445348	0.584	0.383	0	3158
PPARGC1A	0	0.966536608654635	0.713	0.561	0	10891
KLKB1	0	0.960894716693747	0.395	0.167	0	3818
XDH	0	0.955994514176598	0.382	0.177	0	7498
ACSM2B	0	0.954489852552242	0.77	0.602	0	348158
SPATA6L	0	0.953912186636324	0.366	0.179	0	55064
GCH1	0	0.951589732015687	0.324	0.127	0	2643
A2M	0	0.951509947704636	0.557	0.377	0	2
NSUN6	0	0.946022241089006	0.699	0.55	0	221078
SLC41A2	0	0.946014401164659	0.585	0.381	0	84102
FYB2	0	0.937777318443589	0.607	0.396	0	199920
ADGRG6	0	0.936425447936862	0.493	0.305	0	57211
SLC1A1	0	0.936104456497026	0.359	0.151	0	6505
PFKFB1	0	0.934583254436329	0.511	0.277	0	5207
DLG2	0	0.932824704556753	0.552	0.317	0	1740
SLC27A2	0	0.929349957566907	0.404	0.204	0	11001
HSD17B13	0	0.929209878576698	0.261	0.055	0	345275
ALDH1A2	0	0.928816265525423	0.689	0.516	0	8854
MCC	0	0.925630269243073	0.398	0.164	0	4163
GLDC	0	0.925623877104153	0.469	0.3	0	2731
TLCD4	0	0.92099900227207	0.549	0.446	0	148534
SRD5A1	0	0.913038000922597	0.359	0.179	0	6715
THSD4	0	0.90722757569207	0.606	0.391	0	79875
LINC02499	0	0.90645918590551	0.463	0.224	0	728040
SYNE1	0	0.904638316950924	0.456	0.22	0	23345
PDE3B	0	0.90381466651751	0.695	0.605	0	5140
N4BP2L1	0	0.903140662823394	0.453	0.25	0	90634
CA5A	0	0.899373216245132	0.502	0.333	0	763
IGF1	0	0.898543654588818	0.276	0.125	0	3479
CFHR3	0	0.897915546842505	0.392	0.189	0	10878
ACSM2A	0	0.895317378388804	0.8	0.617	0	123876
CYFIP2	0	0.893205854565337	0.284	0.103	0	26999
FGB	0	0.891716377495792	0.591	0.427	0	2244
CGNL1	0	0.888820250491592	0.575	0.371	0	84952
RCL1	0	0.887641013206115	0.432	0.259	0	10171
GPHN	0	0.88473087425394	0.893	0.834	0	10243
ALAS1	0	0.884367164555745	0.344	0.206	0	211
HPX	0	0.883316366902891	0.536	0.334	0	3263
MBNL2	0	0.877454328727947	0.603	0.461	0	10150
KYNU	0	0.876893641312562	0.466	0.257	0	8942
C8A	0	0.87243319480301	0.581	0.401	0	731
BCKDHB	0	0.869676340058064	0.538	0.375	0	594
MIR100HG	0	0.869194925354255	0.543	0.328	0	399959
GBE1	0	0.866066689895878	0.655	0.544	0	2632
P4HA1	8.6793237567578e-91	0.865316125188831	0.469	0.442	2.95322670147441e-86	5033
RORA	0	0.863911434295836	0.93	0.881	0	6095
TENM1	0	0.863551676452681	0.385	0.176	0	10178
IDO2	0	0.863205651479454	0.24	0.061	0	169355
SHMT1	0	0.862400240664196	0.415	0.262	0	6470
ITIH4	0	0.860640222414014	0.812	0.652	0	3700
TFR2	0	0.859319952659948	0.573	0.374	0	7036
CTH	3.68163056134844e-290	0.855054320902454	0.299	0.172	1.25271161480442e-285	1491
F11	0	0.854580871136084	0.343	0.134	0	2160
HSPH1	1.23305938917447e-19	0.849468986273348	0.198	0.184	4.19560787760506e-15	10808
SLC22A7	0	0.847727042415693	0.531	0.34	0	10864
GLYAT	0	0.847582603580859	0.431	0.214	0	10249
SLC2A9	0	0.846881318932166	0.456	0.257	0	56606
NCKAP5	0	0.84669600986088	0.391	0.218	0	344148
C8B	0	0.843318242792667	0.419	0.221	0	732
SLC13A5	0	0.837543427986615	0.532	0.31	0	284111
MFSD2A	0	0.837356721988761	0.239	0.06	0	84879
ZC3H13	0	0.834609246920879	0.71	0.605	0	23091
GPLD1	0	0.831886651904802	0.448	0.249	0	2822
NR3C2	0	0.831209213940234	0.41	0.227	0	4306
HPN	0	0.827531293551445	0.789	0.655	0	3249
EBNA1BP2	0	0.824023210497799	0.605	0.409	0	10969
AASS	0	0.823581091373659	0.549	0.387	0	10157
PPP2R2A	8.32248262302582e-235	0.821454534965709	0.432	0.352	2.83180793731076e-230	5520
GLYATL1	0	0.819515205701929	0.284	0.074	0	92292
CDH1	0	0.817300293801884	0.366	0.198	0	999
ABCA8	0	0.816633871755163	0.453	0.252	0	10351
UPB1	0	0.816080610737883	0.656	0.506	0	51733
ADAMTS17	0	0.813450338586563	0.364	0.238	0	170691
ABCB4	0	0.811409629226809	0.555	0.448	0	5244
HAMP	0	0.809517307763106	0.234	0.078	0	57817
MAP3K5	0	0.808592829397842	0.33	0.131	0	4217
FGG	0	0.807815489764891	0.566	0.423	0	2266
PON3	0	0.807771557970705	0.385	0.213	0	5446
FTCD	0	0.806810626260019	0.779	0.645	0	10841
MOGAT1	0	0.804989072028486	0.249	0.089	0	116255
CRP	6.63113261484904e-207	0.803717536840404	0.171	0.083	2.25630918352853e-202	1401
PEPD	0	0.80222291954189	0.431	0.293	0	5184
COBL	0	0.800420211751737	0.553	0.359	0	23242
GOT1	2.80388053828875e-270	0.798672242860668	0.332	0.216	9.54048391958131e-266	2805
SLC25A18	0	0.797554052290476	0.397	0.198	0	83733
ALB	0	0.797187750017826	0.969	0.936	0	213
HSP90AA1	7.89740151884281e-05	0.793167603353776	0.421	0.469	1	3320
SLC39A14	0	0.78853847307693	0.585	0.488	0	23516
AR	0	0.788273723380459	0.599	0.477	0	367
HAO2	0	0.783766830541635	0.265	0.074	0	51179
HRG	0	0.780614291379361	0.257	0.1	0	3273
MSRA	0	0.764875971070485	0.484	0.334	0	4482
AIG1	0	0.764056963348959	0.718	0.618	0	51390
