#ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa01100	Metabolic pathways	384	-0.425853939072948	-2.85511941554871	1e-10	8.36666666666667e-09	6.63157894736842e-09	523	tags=34%, list=16%, signal=32%	5140/8611/48/9663/131669/9388/151531/55526/978/23483/55034/51071/374378/1503/33/98/2330/10588/216/178/2329/1806/51084/10998/84869/80017/6675/51703/8630/7366/107/10402/3034/2595/5167/4143/1962/64577/5236/23743/84803/5053/50940/38/132/29958/8801/4522/51179/763/441024/7360/9104/83539/2053/3290/11343/8876/57134/79071/54988/2822/169355/2998/6470/1571/54363/10840/8613/435/125/116255/3158/130013/594/6715/2805/9060/1807/2643/6716/383/5095/1548/7498/2328/3081/84706/211/10135/316/32/6999/2632/8854/6342/5207/3242/229/4837/1373/5288/1491/445/570/1549/10157/5033/51733/2203/8564/1577/9615/1562/127/10243/1557/10993/123876/2180/348158/55277/5105/6898/635/1559/1576/27115/1555/1558
hsa00830	Retinol metabolism	19	-0.801553936533942	-2.81648692858661	8.37579558627412e-10	5.25581173038701e-08	4.16585622580476e-08	412	tags=79%, list=13%, signal=69%	216/8630/7366/125/1548/316/8854/1549/1577/1562/127/1559/1576/1555/1558
hsa00982	Drug metabolism - cytochrome P450	21	-0.773034614432632	-2.80649005807854	1.09621736599013e-09	5.50301117727047e-08	4.3617912036239e-08	424	tags=76%, list=13%, signal=67%	2330/2329/7366/1571/125/1548/2328/316/1549/1577/127/1557/1559/1576/1555/1558
hsa05204	Chemical carcinogenesis - DNA adducts	19	-0.759588493247132	-2.66902944995362	4.47944932594391e-08	1.87390296801987e-06	1.48529109228666e-06	239	tags=68%, list=7%, signal=64%	7366/3290/6822/1571/1548/64816/1549/1577/1562/1557/1559/1576/1558
hsa04976	Bile secretion	28	-0.673496515562446	-2.63188335820947	5.33044915837974e-08	1.91134676964759e-06	1.51496976080266e-06	392	tags=61%, list=12%, signal=54%	10599/10864/10998/7366/107/3949/64241/64240/3781/366/6822/6580/5244/570/8671/8647/1576
hsa00980	Metabolism of xenobiotics by cytochrome P450	17	-0.759283223094712	-2.62387429745136	1.63224962982189e-07	5.12118321356619e-06	4.05914710574129e-06	239	tags=71%, list=7%, signal=66%	7366/3290/6822/1571/125/1548/1549/1577/127/1559/1576/1555
hsa00590	Arachidonic acid metabolism	12	-0.771940677875689	-2.37976115555206	3.85899639909654e-06	0.000107623121797026	8.53041309273971e-05	284	tags=67%, list=9%, signal=61%	22949/3248/2053/1571/1557/1559/1555/1558
hsa01240	Biosynthesis of cofactors	34	-0.562033878043795	-2.36371459992471	1.13828510175475e-05	0.000285709560540442	0.000226458825506997	367	tags=59%, list=11%, signal=53%	2356/5805/8942/53354/1503/8630/7366/4143/4522/441024/7360/9104/169355/6470/2643/211/6999/3242/8564/10243
hsa00380	Tryptophan metabolism	15	-0.711284018402913	-2.33584905508031	2.98131655206545e-05	0.000680282231425843	0.000539204620421407	648	tags=80%, list=20%, signal=64%	8942/847/4129/55526/1962/64577/38/169355/130013/316/6999/8564
hsa01230	Biosynthesis of amino acids	29	-0.566761361152657	-2.23057052256815	4.38736570048428e-05	0.000917690659017961	0.000727379050343446	333	tags=41%, list=10%, signal=37%	4143/5053/6470/435/2805/383/84706/229/1373/1491/445/10993
hsa00350	Tyrosine metabolism	12	-0.724976874184984	-2.23497977669317	5.53065834389093e-05	0.00106784249562817	0.00084639224857926	177	tags=58%, list=6%, signal=55%	125/2805/3081/316/3242/127/6898
hsa02010	ABC transporters	19	-0.646018900646411	-2.26997049900143	8.07953832398082e-05	0.0014485457995137	0.00114814491972359	907	tags=84%, list=28%, signal=61%	8714/23461/9429/1244/5243/19/5825/10350/10349/64241/64240/23460/10060/10351/5244/8647
hsa00140	Steroid hormone biosynthesis	15	-0.685594242515134	-2.25148410777356	0.000103898351598267	0.00173856575007767	0.0013780202422507	367	tags=60%, list=11%, signal=53%	8630/7366/9420/3290/1571/6715/6716/1577/1576
hsa04936	Alcoholic liver disease	35	-0.516820501946986	-2.17139388001955	0.000127248655530606	0.00198664480857781	0.00157465241694782	283	tags=37%, list=9%, signal=34%	727/5465/2920/4217/3929/1571/125/2309/32/10891/127/51422/2308
hsa04152	AMPK signaling pathway	47	-0.467323708709945	-2.14531927050817	0.000139551560147451	0.00198664480857781	0.00157465241694782	196	tags=28%, list=6%, signal=26%	2998/2309/3479/5520/3953/32/5207/2203/10891/51422/5105/2308/148
hsa04610	Complement and coagulation cascades	38	-0.494274575631275	-2.13820251185102	0.000142468552009564	0.00198664480857781	0.00157465241694782	376	tags=47%, list=12%, signal=42%	3075/722/3818/2153/727/2266/2158/715/2160/5627/732/10878/1361/5340/5054/729/731/735
hsa01200	Carbon metabolism	37	-0.50361991036505	-2.14755946146124	0.00027936188383249	0.00369051751799763	0.00292517429608535	290	tags=35%, list=9%, signal=32%	38/8801/51179/9104/6470/54363/2805/5095/84706/229/1373/2203/10993
hsa00260	Glycine, serine and threonine metabolism	13	-0.672817885380092	-2.14503693916354	0.000437788655622915	0.00549424762806759	0.00435484504803848	282	tags=62%, list=9%, signal=56%	64902/4129/29958/6470/211/1491/10993/635
hsa00983	Drug metabolism - other enzymes	21	-0.583676518682212	-2.11902845775902	0.000587597793445729	0.00697528172610597	0.00552874081037546	491	tags=57%, list=15%, signal=49%	9/151531/978/1806/7366/1571/1807/1548/7498/1549/51733/1576
hsa04922	Glucagon signaling pathway	26	-0.547617276268837	-2.09854563126598	0.000611379274798133	0.00697528172610597	0.00552874081037546	269	tags=38%, list=8%, signal=36%	5465/23235/2998/32/5207/2203/10891/51422/5105/2308
