#ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa01100	Metabolic pathways	248	-0.439447621771029	-2.99281647332125	1e-10	1.03e-08	7.89473684210526e-09	398	tags=44%, list=21%, signal=40%	54988/23498/1036/144193/2806/84706/50940/8630/57134/5236/1806/978/51/178/79071/10135/4522/622/38/84803/48/8613/29958/847/1962/5167/8801/124/131669/84869/4051/2053/3081/441024/107/6675/5095/8876/10588/51084/4143/11343/64577/3242/3294/6718/54363/9060/51179/2805/116255/10841/51733/10157/2822/1491/6470/169355/5033/2632/594/8942/211/10243/123876/763/5140/6715/2731/8854/5207/2643/348158/7498/3158/2998/6999/132/55277/6342/9615/189/3034/32/4837/383/7360/435/1548/570/1562/1557/5288/1373/1577/8564/1559/445/1549/5105/2203/2180/127/635/6898/1558/27115/10993/229/1555
hsa00982	Drug metabolism - cytochrome P450	15	-0.759500013266469	-2.57619093369307	1.11395837335966e-07	7.64918083040299e-06	5.8629388071561e-06	47	tags=53%, list=3%, signal=52%	1548/1557/1577/1559/1549/127/1558/1555
hsa04610	Complement and coagulation cascades	33	-0.594557331309046	-2.5503125749185	3.68917532062428e-07	1.89992529012151e-05	1.4562534160359e-05	431	tags=67%, list=23%, signal=52%	1361/722/3827/7035/715/727/5627/718/3075/5054/2158/2266/732/2160/731/2244/10878/2/3818/5340/729/735
hsa00830	Retinol metabolism	16	-0.742725110658577	-2.57873206271466	8.0560587712049e-07	3.31909621373642e-05	2.54401855932786e-05	99	tags=94%, list=5%, signal=90%	1576/8608/125/1551/8630/124/8854/1548/1562/1577/1559/1549/127/1558/1555
hsa01200	Carbon metabolism	29	-0.591728137886924	-2.45634096999634	3.72818296183903e-06	0.000128000948356473	9.81100779431323e-05	379	tags=62%, list=20%, signal=50%	2806/84706/51/38/48/847/8801/5095/54363/51179/2805/6470/2731/189/1373/2203/10993/229
hsa00260	Glycine, serine and threonine metabolism	12	-0.747515488823252	-2.38239377589683	1.24708771326374e-05	0.000367000098474758	0.000281297980435431	133	tags=67%, list=7%, signal=62%	29958/1491/6470/211/2731/189/635/10993
hsa04512	ECM-receptor interaction	13	0.734769569815436	2.34260003470414	3.60590161211214e-05	0.000825350813439002	0.000632614317914411	266	tags=69%, list=14%, signal=60%	80144/1287/5649/3909/948/3915/3685/6696/3655
hsa01240	Biosynthesis of cofactors	25	-0.567242791883805	-2.24466249037363	3.52061237955912e-05	0.000825350813439002	0.000632614317914411	483	tags=72%, list=26%, signal=54%	217/53354/1503/23498/8630/4522/441024/4143/3242/6470/169355/8942/211/10243/2643/6999/7360/8564
hsa00980	Metabolism of xenobiotics by cytochrome P450	13	-0.708045337879182	-2.29450011805258	4.85113137187836e-05	0.000999333062606943	0.000765968111349216	305	tags=69%, list=16%, signal=58%	1565/124/6822/1548/1577/1559/1549/127/1555
hsa00590	Arachidonic acid metabolism	10	-0.736829562701799	-2.21537174094132	7.00941763528589e-05	0.00131267275715354	0.00100613650267262	246	tags=70%, list=13%, signal=61%	4051/2053/3248/1557/1559/1558/1555
hsa04260	Cardiac muscle contraction	19	0.6316460441676	2.34645999653065	9.36369511763905e-05	0.00160743432852804	0.00123206514705777	245	tags=47%, list=13%, signal=42%	783/55799/444/483/477/481/7169/785/170712
hsa05204	Chemical carcinogenesis - DNA adducts	13	-0.693549382086607	-2.24752435181567	0.00010910681805565	0.00172892342457415	0.00132518402496741	47	tags=62%, list=3%, signal=60%	6822/1548/1562/1557/1577/1559/1549/1558
hsa00380	Tryptophan metabolism	15	-0.612966577170564	-2.07915590675526	0.000327629357924718	0.00454904810039198	0.00348675122666733	483	tags=73%, list=26%, signal=55%	217/130013/23498/38/847/1962/64577/169355/8942/6999/8564
hsa04152	AMPK signaling pathway	29	-0.498068937155347	-2.06754936580521	0.000331241366533396	0.00454904810039198	0.00348675122666733	149	tags=38%, list=8%, signal=35%	5520/3479/5207/10891/2998/32/2308/51422/5105/2203/148
hsa01230	Biosynthesis of amino acids	21	-0.544651835227916	-2.03730429109249	0.000465010048984557	0.00598700438067617	0.00458891495708444	379	tags=62%, list=20%, signal=50%	2806/84706/48/4143/2805/1491/6470/383/435/1373/445/10993/229
hsa04910	Insulin signaling pathway	23	-0.520220038703671	-2.00086355387343	0.000636185508731083	0.00770907145874136	0.00590884373434442	107	tags=43%, list=6%, signal=41%	5295/10580/5140/10891/2998/32/2308/51422/5105/2203
hsa04922	Glucagon signaling pathway	20	-0.550359246343081	-2.05252147319033	0.000777825043877919	0.0089017755021584	0.0068230267006835	107	tags=45%, list=6%, signal=43%	5140/5207/10891/2998/32/2308/51422/5105/2203
hsa00270	Cysteine and methionine metabolism	12	-0.643519732694176	-2.05095068765845	0.000822077861918676	0.00891305471343407	0.00683167198270368	387	tags=67%, list=21%, signal=53%	1036/2806/4143/2805/1491/635/6898/10993
hsa05414	Dilated cardiomyopathy	25	0.516940499309225	2.08787134093296	0.00103479610778057	0.0101508570572761	0.0077804218630118	557	tags=72%, list=30%, signal=51%	783/55799/1837/6444/3685/7169/8910/785/137868/3655/7042/71/3673/60/27092/6262/3680/4000
hsa05222	Small cell lung cancer	15	0.611742150899789	2.0550525289324	0.00100485495705079	0.0101508570572761	0.0077804218630118	363	tags=67%, list=20%, signal=54%	1287/3909/5747/3915/3685/1021/3655/598/2272/3673
hsa04310	Wnt signaling pathway	24	0.529316149440312	2.10410939131891	0.00113871035693187	0.0106624697058166	0.00817256237032441	154	tags=38%, list=8%, signal=35%	85407/23236/8549/4919/54894/84133/147111/1501/166336
hsa04146	Peroxisome	20	-0.530692651943113	-1.97917645795042	0.00154566752741338	0.0138438048107459	0.0106109898907097	277	tags=60%, list=15%, signal=52%	51/847/1962/2053/54363/51179/11001/7498/6342/189/570/2180
hsa04360	Axon guidance	24	0.515083881184936	2.04753403587666	0.00189783580764617	0.0156381670550045	0.0119863314167127	240	tags=42%, list=13%, signal=37%	6091/1630/5747/55740/1946/8829/2048/6092/80031/9475
hsa00010	Glycolysis / Gluconeogenesis	17	-0.55137007081087	-1.94664686787112	0.00184626179208062	0.0156381670550045	0.0119863314167127	16	tags=47%, list=1%, signal=47%	217/125/5236/124/5105/2203/127/229
hsa05410	Hypertrophic cardiomyopathy	26	0.50524423463284	2.05293533899405	0.00206299687202052	0.0163452829090856	0.0125283210851448	394	tags=58%, list=21%, signal=46%	783/55799/5563/1837/6444/3685/7169/8910/785/137868/3655/7042/71/3673/60
hsa05412	Arrhythmogenic right ventricular cardiomyopathy	22	0.541858151590391	2.11192867153839	0.00247608287522979	0.0188915952702717	0.0144800168142093	557	tags=77%, list=30%, signal=55%	783/55799/1837/6444/3685/1496/8910/785/137868/3655/71/3673/60/27092/6262/3680/4000
