#ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	23/265	161/18903	6.90243103359072e-17	2.41999232037691e-13	2.06782302332623e-13	RPL8/RPL28/RPS19/EIF3E/RPLP1/RPL13A/RPL18/RPLP0/PABPC1/RPLP2/RPL35/RPS20/RPSA/RPL13/RPL7A/RPL10/RPS11/RPL30/EIF3H/RPS28/RPS18/RPL18A/RPS5	23
BP	GO:0050808	synapse organization	26/265	432/18903	4.76532278155847e-10	8.35361083607201e-07	7.13795191385022e-07	CACNB2/DISC1/SDK1/COL4A5/DNM3/IL1RAPL1/RELN/EFNA5/NEDD9/DLG5/NRCAM/NRP1/CTNND2/CTNNA2/APOE/EPHB2/ROBO2/YWHAZ/ARHGAP44/SPARCL1/STAU2/IGF1R/EGLN1/CACNB4/SLC7A11/MDGA1	26
BP	GO:0050807	regulation of synapse organization	18/265	209/18903	9.58458272021849e-10	1.12011823390287e-06	9.57113067429538e-07	DISC1/DNM3/IL1RAPL1/RELN/EFNA5/NEDD9/DLG5/NRCAM/CTNNA2/APOE/EPHB2/ROBO2/YWHAZ/ARHGAP44/STAU2/EGLN1/SLC7A11/MDGA1	18
BP	GO:0050803	regulation of synapse structure or activity	18/265	215/18903	1.51240910312523e-09	1.32562657888927e-06	1.13271481776169e-06	DISC1/DNM3/IL1RAPL1/RELN/EFNA5/NEDD9/DLG5/NRCAM/CTNNA2/APOE/EPHB2/ROBO2/YWHAZ/ARHGAP44/STAU2/EGLN1/SLC7A11/MDGA1	18
BP	GO:0010975	regulation of neuron projection development	25/265	446/18903	4.45916977416505e-09	3.12676984564453e-06	2.67174677416289e-06	DISC1/ROBO1/DNM3/IL1RAPL1/RELN/MAP2/DCC/EFNA5/ROR1/PRAG1/NRCAM/NRP1/CTNNA2/SPP1/APOE/EPHB2/ROBO2/SEMA6D/ARHGAP44/PRKD1/STAU2/IGF1R/SPOCK1/PTPRG/ITGA6	25
BP	GO:0016358	dendrite development	18/265	237/18903	7.1143010875252e-09	4.15712326881056e-06	3.55215805177136e-06	DISC1/SDK1/DNM3/ASAP1/IL1RAPL1/RELN/MAP2/PHACTR1/DCC/PREX2/DLG5/NRP1/CTNND2/CTNNA2/APOE/EPHB2/ARHGAP44/STAU2	18
BP	GO:0060996	dendritic spine development	11/265	92/18903	6.58699419820192e-08	3.29914309412799e-05	2.81903541174176e-05	DISC1/SDK1/DNM3/ASAP1/RELN/DLG5/CTNND2/APOE/EPHB2/ARHGAP44/STAU2	11
BP	GO:0060998	regulation of dendritic spine development	9/265	56/18903	7.78197698284823e-08	3.41045141273324e-05	2.91414559120869e-05	DISC1/SDK1/DNM3/ASAP1/RELN/DLG5/APOE/EPHB2/STAU2	9
BP	GO:0099173	postsynapse organization	14/265	166/18903	9.49601857221145e-08	3.69922679046371e-05	3.16089694228232e-05	DNM3/IL1RAPL1/RELN/NEDD9/NRCAM/NRP1/CTNND2/APOE/EPHB2/ARHGAP44/STAU2/IGF1R/EGLN1/SLC7A11	14
BP	GO:0007409	axonogenesis	22/265	438/18903	2.65396978999234e-07	9.30481808371315e-05	7.95073476033495e-05	DISC1/ROBO1/RELN/MAP2/LAMA3/DCC/PTK2/ENAH/EFNA5/PALLD/NRCAM/NRP1/NRXN3/CTNNA2/SPP1/APOE/ALCAM/EPHB2/ROBO2/SEMA6D/IGF1R/AUTS2	22
