#ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa01100	Metabolic pathways	384	0.425853939072948	2.86934399082374	1e-10	8.36666666666667e-09	6.73684210526316e-09	522	tags=34%, list=16%, signal=32%	1558/1555/27115/1576/1559/635/6898/5105/55277/348158/2180/123876/10993/1557/10243/127/1562/9615/1577/8564/2203/51733/5033/10157/1549/570/445/1491/5288/1373/4837/229/3242/5207/6342/8854/2632/6999/32/316/10135/211/84706/3081/2328/7498/1548/5095/383/6716/2643/1807/9060/2805/6715/594/130013/3158/116255/125/435/8613/10840/54363/1571/6470/2998/169355/2822/54988/79071/57134/8876/11343/3290/2053/83539/9104/7360/441024/763/51179/4522/8801/29958/132/38/50940/5053/84803/23743/5236/64577/1962/4143/5167/2595/3034/10402/107/7366/8630/51703/6675/80017/84869/10998/51084/1806/2329/178/216/10588/2330/98/33/1503/374378/51071/55034/23483/978/55526/151531/9388/131669/9663/48/8611/5140
hsa00830	Retinol metabolism	19	0.801553936533942	2.87806039310478	8.44010111860636e-10	5.29616345192549e-08	4.26447214413795e-08	411	tags=79%, list=13%, signal=69%	1558/1555/1576/1559/127/1562/1577/1549/8854/316/1548/125/7366/8630/216
hsa00982	Drug metabolism - cytochrome P450	21	0.773034614432632	2.83995053645927	1.10464980726698e-09	5.54534203248025e-08	4.46511079990022e-08	423	tags=76%, list=13%, signal=67%	1558/1555/1576/1559/1557/127/1577/1549/316/2328/1548/125/1571/7366/2329/2330
hsa05204	Chemical carcinogenesis - DNA adducts	19	0.759588493247132	2.72737922905845	4.51384049159415e-08	1.88828993898355e-06	1.52045153401066e-06	238	tags=63%, list=7%, signal=59%	1558/1576/1559/1557/1562/1577/1549/64816/1548/1571/6822/3290
hsa04976	Bile secretion	28	0.673496515562446	2.72801368259394	5.36056469034799e-08	1.92214533896764e-06	1.54771191059671e-06	391	tags=61%, list=12%, signal=54%	1576/8647/8671/570/5244/6580/6822/366/3781/64240/64241/3949/107/7366/10998/10864/10599
hsa00980	Metabolism of xenobiotics by cytochrome P450	17	0.759283223094712	2.65366531709963	1.70861218560303e-07	5.36077073232952e-06	4.31649394257609e-06	238	tags=65%, list=7%, signal=60%	1555/1576/1559/127/1577/1549/1548/125/1571/6822/3290
hsa00590	Arachidonic acid metabolism	12	0.771940677875689	2.40467595929877	3.79974117607778e-06	0.000105970559466169	8.53275211470098e-05	283	tags=67%, list=9%, signal=61%	1558/1555/1559/1557/1571/2053/3248/22949
hsa01240	Biosynthesis of cofactors	34	0.562033878043795	2.39778805564784	1.13828510175475e-05	0.000285709560540442	0.000230053410038854	366	tags=44%, list=11%, signal=40%	10243/8564/3242/6999/211/2643/6470/169355/9104/7360/441024/4522/4143/7366/8630
hsa00380	Tryptophan metabolism	15	0.711284018402913	2.3729669994551	2.8636330039576e-05	0.000653428985448508	0.000526141183502258	647	tags=80%, list=20%, signal=64%	8564/6999/316/130013/169355/38/64577/1962/55526/4129/847/8942
hsa01230	Biosynthesis of amino acids	29	0.566761361152657	2.29278133021655	4.47999722199162e-05	0.000937066085599914	0.000754525847914379	332	tags=41%, list=10%, signal=37%	10993/445/1491/1373/229/84706/383/2805/435/6470/5053/4143
