#ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	94/1190	161/18903	1.32035347003424e-70	7.15367510064554e-67	6.40996863557678e-67	RPS18/RPL28/RPS19/RPL8/RPS28/RPL13A/RPS15/RPS11/RPL37A/RPL36/RPLP0/RPL18/RPS6/RPS27/RPLP1/RPL13/RPS24/RPL3/RPLP2/RPS2/RPL37/RPL18A/RPS4X/RPL10/RPL39/RPL35/UBA52/RPL38/RPS16/RPL23/RPSA/RPL11/RPS14/RPL27A/RPS21/RPS5/RPL30/RPS23/RPS27A/RPL36A/RPS20/RPL32/RPS3/RPL14/RPS17/RPL9/RPS9/RPL6/RACK1/RPL29/RPL41/RPL19/RPL17/RPL7/RPL4/RPL15/PABPC1/RPL7A/RPS12/IGF2BP1/RPS10/RPL5/RPL12/RPS25/RPS7/RPL35A/RPS8/RPL21/RPL10A/RPL26/RPL31/RPL27/RPL34/RPL24/EIF3B/RPL23A/UNK/EIF4B/EIF4A1/EIF2S3/FAU/EIF3G/RPS29/RPL22/EIF3E/RPS26/RPS3A/RPS15A/EIF4A2/EIF3H/RPS13/EIF3L/EIF2S2/DHX9	94
BP	GO:0022613	ribonucleoprotein complex biogenesis	77/1190	489/18903	6.59202067009525e-14	1.7857783995288e-10	1.60012628055154e-10	RPS19/RPS28/RPL13A/RPS15/RPLP0/RPS6/RPS27/RPS24/RPL10/RPL35/RPL38/RPS16/RPSA/RPL11/RPS14/RPS21/RPS5/RPL14/RPS17/RPL6/HSP90AB1/RPL7/RPL7A/RPL5/NOP56/RPS25/SRPK1/RPS7/RPL35A/RPS8/RPL10A/RPL26/PRKDC/RPL27/DDX39B/RPL24/HEATR1/EIF3B/RPL23A/NOP53/RPL7L1/EIF4B/GLUL/EIF2S3/NVL/EIF3G/ESF1/EIF3E/EIF6/SNRPC/WDR43/SNRPB/PRPF6/PA2G4/PELP1/KHDC4/NPM1/CPSF6/EIF3H/ADAR/SNRPD2/PIH1D1/WDR46/CHD7/CDC73/RIOK1/RRP1B/FBL/SNRPF/LSM4/PUF60/PRPF8/EIF3L/LSM2/EIF2S2/PIN4/DHX9	77
BP	GO:0022618	ribonucleoprotein complex assembly	45/1190	234/18903	1.41003141510444e-11	2.54651673567862e-08	2.28177715314445e-08	RPS19/RPS28/RPL13A/RPS15/RPLP0/RPS27/RPL10/RPL38/RPSA/RPL11/RPS14/RPS5/RPL6/HSP90AB1/RPL5/SRPK1/PRKDC/DDX39B/RPL24/EIF3B/RPL23A/NOP53/EIF4B/EIF2S3/EIF3G/EIF3E/EIF6/SNRPC/SNRPB/PRPF6/KHDC4/CPSF6/EIF3H/ADAR/SNRPD2/PIH1D1/CDC73/SNRPF/LSM4/PUF60/PRPF8/EIF3L/LSM2/EIF2S2/DHX9	45
BP	GO:0071826	ribonucleoprotein complex subunit organization	45/1190	242/18903	4.59760600302695e-11	6.2274573311e-08	5.58004181209481e-08	RPS19/RPS28/RPL13A/RPS15/RPLP0/RPS27/RPL10/RPL38/RPSA/RPL11/RPS14/RPS5/RPL6/HSP90AB1/RPL5/SRPK1/PRKDC/DDX39B/RPL24/EIF3B/RPL23A/NOP53/EIF4B/EIF2S3/EIF3G/EIF3E/EIF6/SNRPC/SNRPB/PRPF6/KHDC4/CPSF6/EIF3H/ADAR/SNRPD2/PIH1D1/CDC73/SNRPF/LSM4/PUF60/PRPF8/EIF3L/LSM2/EIF2S2/DHX9	45
BP	GO:0042254	ribosome biogenesis	51/1190	310/18903	2.46890145579373e-10	2.67530161749808e-07	2.39717337139382e-07	RPS19/RPS28/RPS15/RPLP0/RPS6/RPS27/RPS24/RPL10/RPL35/RPL38/RPS16/RPSA/RPL11/RPS14/RPS21/RPS5/RPL14/RPS17/RPL6/RPL7/RPL7A/RPL5/NOP56/RPS25/RPS7/RPL35A/RPS8/RPL10A/RPL26/PRKDC/RPL27/RPL24/HEATR1/RPL23A/NOP53/RPL7L1/GLUL/NVL/ESF1/EIF6/WDR43/PA2G4/PELP1/NPM1/PIH1D1/WDR46/CHD7/RIOK1/RRP1B/FBL/PIN4	51
BP	GO:0006364	rRNA processing	41/1190	229/18903	1.095259220098e-09	9.89019075748495e-07	8.8619921457754e-07	RPS19/RPS28/RPS15/RPS6/RPS27/RPS24/RPL35/RPS16/RPL11/RPS14/RPS21/RPL14/RPS17/RPL7/RPL7A/RPL5/NOP56/RPS25/RPS7/RPL35A/RPS8/RPL10A/RPL26/PRKDC/RPL27/HEATR1/NOP53/RPL7L1/NVL/ESF1/EIF6/WDR43/PA2G4/PELP1/PIH1D1/WDR46/CHD7/RIOK1/RRP1B/FBL/PIN4	41
BP	GO:0016072	rRNA metabolic process	45/1190	268/18903	1.44367485995997e-09	1.00216783045619e-06	8.97981005627232e-07	RPS19/RPS28/RPS15/RPS6/RPS27/RPS24/RPL35/RPS16/RPL11/RPS14/RPS21/RPL14/RPS17/RPL7/RPL7A/RPL5/NOP56/RPS25/RPS7/RPL35A/RPS8/RPL10A/RPL26/PRKDC/RPL27/HEATR1/NOP53/SMARCA4/RPL7L1/NVL/GTF3C2/ESF1/EIF6/WDR43/PA2G4/PELP1/PIH1D1/WDR46/CHD7/NCL/RIOK1/RRP1B/FBL/SPIN1/PIN4	45
BP	GO:0042274	ribosomal small subunit biogenesis	22/1190	78/18903	1.47976054700064e-09	1.00216783045619e-06	8.97981005627232e-07	RPS19/RPS28/RPS15/RPS6/RPS27/RPS24/RPL38/RPS16/RPSA/RPS14/RPS21/RPS5/RPS17/RPS25/RPS7/RPS8/PRKDC/HEATR1/WDR43/NPM1/WDR46/RIOK1	22
BP	GO:0042255	ribosome assembly	19/1190	61/18903	3.09417733495663e-09	1.86269475564389e-06	1.66904630044678e-06	RPS19/RPS28/RPS15/RPLP0/RPS27/RPL10/RPL38/RPSA/RPL11/RPS14/RPS5/RPL6/RPL5/PRKDC/RPL24/RPL23A/NOP53/EIF6/NPM1	19
BP	GO:0034470	ncRNA processing	60/1190	439/18903	1.12776864358286e-08	6.11025051093196e-06	5.47501998337281e-06	H19/RPS19/RPS28/RPS15/RPS6/RPS27/RPS24/TARBP1/RPL35/RPS16/RPL11/RPS14/RPS21/RPL14/RPS17/CDKAL1/FARS2/RPL7/RPL7A/RPL5/NOP56/RPS25/RPS7/RPL35A/TRIM71/RPS8/RPL10A/RPL26/PRKDC/RPL27/HEATR1/NOP53/RPL7L1/NVL/WDR6/ESF1/PUS7/ELP1/EIF6/WDR43/MAP2K2/INTS1/METTL8/TRMT1/PA2G4/PELP1/ADAR/THADA/INTS7/INTS3/AARS2/PIH1D1/TSNAX/WDR46/CHD7/QTRT1/RIOK1/RRP1B/FBL/PIN4	60
