#gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	ENTREZID
GPC3	0	3.53235012844438	0.819	0.176	0	2719
ACSL4	0	3.10307421200374	0.696	0.092	0	2182
ROBO1	0	2.86911516596331	0.714	0.14	0	6091
IGF2BP2	0	2.85239375980201	0.689	0.091	0	10644
AFP	0	2.60540964147294	0.574	0.017	0	174
MBNL3	0	2.56779101242582	0.689	0.231	0	55796
PEG10	0	2.56511233753431	0.58	0.014	0	23089
H19	0	2.54968147871406	0.637	0.153	0	283120
APOA2	1.76508627805984e-274	2.37510250287483	0.856	0.559	6.00588256972643e-270	336
APOE	4.83034685436968e-283	2.34740806688087	0.802	0.433	1.64357382066783e-278	348
PPP1R9A	0	2.17414278167891	0.609	0.052	0	55607
PLCB1	0	2.1649391844461	0.752	0.308	0	23236
ARID3A	0	2.08004208543018	0.594	0.05	0	1820
RPS18	0	2.07189524267178	0.618	0.143	0	6222
RELN	0	2.04005657986066	0.411	0.074	0	5649
HS6ST2	0	2.00742322558637	0.417	0.012	0	90161
RPL28	0	1.88277129051859	0.673	0.182	0	6158
ELOVL2	0	1.85058359251771	0.629	0.196	0	54898
RHEX	0	1.84674651475206	0.479	0.055	0	440712
FTL	1.76238073275447e-236	1.8396798872744	0.82	0.464	5.99667668127035e-232	2512
RPS19	0	1.83160775058632	0.676	0.191	0	6223
RPL8	0	1.78832000979719	0.565	0.114	0	6132
VTN	1.94081077389885e-172	1.77767651932366	0.723	0.471	6.60380273926822e-168	7448
FRAS1	0	1.73925185715968	0.431	0.038	0	80144
RPS28	2.5852098544847e-299	1.69762834909434	0.6	0.175	8.79643505086964e-295	6234
RPL13A	0	1.6893851349117	0.657	0.197	0	23521
APOA1	5.10275507598572e-173	1.66325002187394	0.84	0.665	1.7362634421549e-168	335
PARD3B	1.34835118954728e-214	1.6615379654574	0.816	0.662	4.58789975755357e-210	117583
COL5A2	0	1.64719775307969	0.462	0.083	0	1290
RPS15	0	1.64533556784594	0.523	0.1	0	6209
DCDC2	3.88279168640996e-304	1.64481353069084	0.54	0.134	1.32115869921785e-299	51473
PHYHIPL	0	1.57323411499152	0.476	0.047	0	84457
KIF6	0	1.56334996376186	0.401	0.064	0	221458
BICC1	0	1.56210748387516	0.488	0.085	0	80114
RPS11	0	1.54912418147304	0.511	0.1	0	6205
AGT	1.50884572106166e-165	1.53959926826826	0.607	0.296	5.13399845048441e-161	183
PEG3	0	1.52824895524326	0.427	0.021	0	5178
CERS4	5.07431766099311e-247	1.5243722273336	0.594	0.207	1.72658732732952e-242	79603
RPL37A	0	1.51483442507481	0.575	0.15	0	6168
RPL36	0	1.50437891424748	0.508	0.101	0	25873
RPLP0	0	1.46901705548904	0.506	0.116	0	6175
RALYL	0	1.45411284040503	0.313	0.027	0	138046
MAP4K4	2.09267865200737e-108	1.4443389893013	0.638	0.429	7.12054838132027e-104	9448
SSBP2	0	1.44402364936866	0.466	0.075	0	23635
RPL18	5.14234176019967e-305	1.43648080876983	0.502	0.118	1.74973320732554e-300	6141
EEF1A1	2.07822990079575e-178	1.42216370516207	0.637	0.268	7.07138506044761e-174	1915
STXBP6	0	1.4206360291666	0.51	0.101	0	29091
LRRC1	0	1.41206564556994	0.435	0.041	0	55227
RPS6	1.66992081713539e-286	1.39007400816033	0.472	0.109	5.68207257238486e-282	6194
RPS27	4.29300419569703e-242	1.36618129099611	0.495	0.135	1.46073760762787e-237	6232
ZNF83	0	1.3638904136028	0.458	0.052	0	55769
AHSG	1.39894226355329e-137	1.36288725937554	0.675	0.409	4.76004094596644e-133	197
RPLP1	7.29337584584431e-173	1.35452735468153	0.541	0.196	2.48164406530699e-168	6176
RPL13	3.85432162720367e-168	1.33742832527303	0.61	0.252	1.31147147687232e-163	6137
TRIM24	2.6061150056857e-170	1.33121613734763	0.65	0.32	8.86756691834615e-166	8805
RPS24	8.07854991009842e-228	1.3283355335771	0.518	0.154	2.74880739241009e-223	6229
RPL3	9.44603609790541e-215	1.32525081686362	0.559	0.187	3.2141082426733e-210	6122
RPLP2	2.27004576035974e-304	1.32188240600059	0.459	0.098	7.72405770420004e-300	6181
SOX4	0	1.31269267650164	0.335	0.013	0	6659
RPS2	4.61729597757141e-220	1.30300964662899	0.434	0.114	1.57108112932845e-215	6187
RPL37	5.22214099902225e-236	1.30259490058354	0.513	0.146	1.77688569632731e-231	6167
TARBP1	1.16333468096295e-238	1.29895568528345	0.543	0.169	3.95836258544453e-234	6894
EEF2	1.36767527874849e-260	1.28638551451103	0.495	0.128	4.65365190346962e-256	1938
RPL18A	0	1.28453522683565	0.427	0.082	0	6142
DLEU1	2.5234166852583e-202	1.27362118583677	0.582	0.207	8.5861776132599e-198	10301
RPS4X	0	1.27346980543052	0.365	0.06	0	6191
VIL1	0	1.27054767397817	0.443	0.053	0	7429
SERPINF2	6.01877030942433e-118	1.2429931059614	0.663	0.459	2.04794678548472e-113	5345
AMBP	4.02958801055392e-131	1.24210147494244	0.711	0.422	1.37110761647108e-126	259
SYN3	1.02362970761001e-204	1.23978644455869	0.334	0.074	3.48300244311382e-200	8224
RPL10	1.38476725249202e-201	1.23776055577607	0.52	0.17	4.71180905332933e-197	6134
RPL39	2.32693399702055e-246	1.23512782711891	0.356	0.071	7.91762561826213e-242	6170
RPL35	4.57871065221637e-245	1.23429709408753	0.475	0.123	1.55795208652314e-240	11224
UBA52	0	1.23261441307735	0.426	0.08	0	7311
FMNL2	3.84387084150123e-257	1.23025144209146	0.375	0.074	1.30791549252921e-252	114793
NCOA3	3.3446372164285e-126	1.21853101737069	0.596	0.282	1.13804625926196e-121	8202
BCAM	0	1.21691341770868	0.395	0.035	0	4059
RPL38	4.6150430142671e-295	1.20731108727202	0.385	0.072	1.57031453603452e-290	6169
RPS16	2.99502147250196e-191	1.20144930358788	0.449	0.13	1.01908600623352e-186	6217
PRIM2	2.91176517374176e-215	1.2013041613427	0.496	0.153	9.90757218017373e-211	5558
CEBPA	6.8582629893993e-216	1.19705347824937	0.477	0.136	2.33359256477301e-211	1050
DPP10	3.2940004648953e-33	1.19663484715268	0.149	0.06	1.12081659818527e-28	57628
EEF1D	2.83646182232148e-203	1.19550518786832	0.575	0.196	9.65134499663107e-199	1936
RPL23	1.02870944137492e-256	1.18874198069458	0.375	0.076	3.50028674522231e-252	9349
MEP1A	0	1.18061981514828	0.321	0.006	0	4224
RPSA	7.10163973020871e-231	1.18057074601034	0.383	0.086	2.41640393460082e-226	3921
CALR	2.01510848671179e-262	1.1797648276059	0.382	0.079	6.85660813688553e-258	811
GLUD1	7.61449370960599e-103	1.17966719079519	0.664	0.45	2.59090762963053e-98	2746
RPL11	8.42179222186369e-160	1.16363977989824	0.411	0.125	2.86559902141134e-155	6135
RPS14	1.16912602630698e-208	1.16189268480737	0.455	0.127	3.97806821711214e-204	6208
SCD	2.56099823401971e-90	1.15183603815824	0.364	0.137	8.71405259107545e-86	6319
C2	6.20836898442053e-136	1.14653751802199	0.523	0.229	2.11245963063893e-131	717
ITGAE	0	1.14391538416077	0.373	0.029	0	3682
RPL27A	2.80502294622929e-193	1.1360001007281	0.422	0.115	9.54437107683978e-189	6157
JARID2	1.36686380672962e-127	1.13354615689105	0.563	0.279	4.65089078877821e-123	3720
RPS21	0	1.1217368805493	0.373	0.058	0	6227
TMSB10	0	1.12060842998357	0.28	0.032	0	9168
SIPA1L3	1.56586253764245e-147	1.11814956194228	0.674	0.352	5.3280038705822e-143	23094
PTMA	1.19634244126853e-157	1.1132375474246	0.477	0.162	4.07067479066031e-153	5757
RPS5	1.77650811092114e-281	1.10807024273473	0.427	0.089	6.04474649822028e-277	6193
RPL30	6.00783655478471e-171	1.08737643256563	0.347	0.09	2.04422646613105e-166	6156
RPS23	1.30152076661462e-219	1.08694373677326	0.332	0.069	4.42855456048292e-215	6228
RPS27A	8.29635580240157e-157	1.08468974176742	0.347	0.094	2.82291802532516e-152	6233
IGF1R	0	1.08170869287352	0.331	0.022	0	3480
RPL36A	1.29524430496476e-278	1.08046612464724	0.333	0.057	4.40719827207311e-274	6173
SMYD3	2.52775982123908e-109	1.08010896004935	0.721	0.534	8.6009555677481e-105	64754
RNGTT	2.03396556356299e-109	1.07219254526842	0.575	0.322	6.92077122657944e-105	8732
RPS20	3.30255544668766e-192	1.06558516496343	0.376	0.095	1.12372751628994e-187	6224
CAP2	1.01262025560587e-140	1.0618607592338	0.498	0.193	3.44554168172453e-136	10486
