#ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0046395	carboxylic acid catabolic process	61/783	243/18903	6.86154995266811e-31	3.37039333675058e-27	2.83490353307604e-27	TAT/PCK1/SDS/ABCB11/KMO/AASS/HPD/SCP2/TDO2/ACACB/SLC27A2/GPT2/HGD/PCCA/ECHDC2/ARG1/GOT1/LONP2/BCKDHB/ACMSD/ALDH1L1/HAO1/ABHD2/SHMT1/IDO2/AIG1/SULT2A1/MFSD2A/PON3/PPARA/ACAT1/PAH/ALDH8A1/EHHADH/MAT1A/CYP4A11/HAL/ADHFE1/ACAD11/RIDA/CRYL1/ETFDH/MTHFS/PON1/ACADL/UROC1/LPIN2/HSD17B4/ATP2B4/CYP4F3/ABCD3/DECR1/AGXT2/KYNU/LPIN1/GLS2/ACOX1/ACADM/OTC/ACOX2/ACADSB	61
BP	GO:0016054	organic acid catabolic process	61/783	247/18903	1.84241101575448e-30	4.52496145469301e-27	3.80603328254544e-27	TAT/PCK1/SDS/ABCB11/KMO/AASS/HPD/SCP2/TDO2/ACACB/SLC27A2/GPT2/HGD/PCCA/ECHDC2/ARG1/GOT1/LONP2/BCKDHB/ACMSD/ALDH1L1/HAO1/ABHD2/SHMT1/IDO2/AIG1/SULT2A1/MFSD2A/PON3/PPARA/ACAT1/PAH/ALDH8A1/EHHADH/MAT1A/CYP4A11/HAL/ADHFE1/ACAD11/RIDA/CRYL1/ETFDH/MTHFS/PON1/ACADL/UROC1/LPIN2/HSD17B4/ATP2B4/CYP4F3/ABCD3/DECR1/AGXT2/KYNU/LPIN1/GLS2/ACOX1/ACADM/OTC/ACOX2/ACADSB	61
BP	GO:0044282	small molecule catabolic process	75/783	385/18903	6.29416379981367e-30	1.03056441948949e-26	8.66827821553286e-27	CYP3A4/TAT/PCK1/SDS/ABCB11/ADH4/GDA/KMO/UPB1/AASS/ALDOB/HPD/SCP2/TDO2/ACACB/SLC27A2/GPT2/HGD/XDH/PCCA/ECHDC2/ARG1/GOT1/LONP2/BCKDHB/ACMSD/ALDH1L1/HAO1/ABHD2/SHMT1/IDO2/AIG1/SULT2A1/MFSD2A/PON3/PPARA/ACAT1/PAH/ALDH8A1/EHHADH/MAT1A/CYP4A11/HAL/ADHFE1/ACAD11/RIDA/HSD17B6/CRYL1/DPYD/ETFDH/MTHFS/PON1/ACADL/DERA/CDA/UPP2/UROC1/LPIN2/HSD17B4/ATP2B4/CYP4F3/ABCD3/DECR1/AGXT2/KYNU/CYP39A1/LPIN1/GLS2/ACOX1/ACADM/OTC/TKFC/RBKS/ACOX2/ACADSB	75
BP	GO:0006631	fatty acid metabolic process	68/783	400/18903	1.27342991468043e-23	1.56377193522757e-20	1.31531905661071e-20	CYP2C8/CYP2B6/CYP3A4/CYP2C9/PCK1/ACSM2B/ACSL1/ACSM2A/PRKAG2/CYP2C19/ABCB11/INSIG1/ADH4/CYP2C18/PPARGC1A/CYP2A7/BAAT/SCP2/ACACB/SLC27A2/CYP2A6/PCCA/ECHDC2/LONP2/HAO1/CYP2E1/ABHD2/AIG1/ACSM5/ELOVL6/MFSD2A/MGLL/HPGD/RGN/PPARA/HAO2/PTGR1/POR/ACAT1/EHHADH/CYP4A11/ACAD11/ACSL5/PDK4/CBR4/SLC27A5/ADIPOR2/CRYL1/ETFDH/FMO4/FAAH2/ACADL/LIPG/LPIN2/HSD17B4/CYP4F3/ABCD3/DECR1/QKI/LPIN1/PNPLA3/ACOX1/ACADM/CES2/AKR1C4/ACOX2/ACBD4/ACADSB	68
BP	GO:1901605	alpha-amino acid metabolic process	48/783	205/18903	4.20314826702865e-23	4.12917285752894e-20	3.47312777854473e-20	BHMT/TAT/SDS/KMO/AASS/BAAT/ASS1/CTH/CPS1/HPD/GLYAT/TDO2/GPT2/HGD/ARG1/MSRA/GOT1/ACMSD/ASL/HAO1/SHMT1/IDO2/MTHFD2L/MTHFD1/ACAT1/PAH/BHMT2/GLYATL1/ASPG/ALDH8A1/MAT1A/HAL/ADHFE1/RIDA/DGLUCY/MTHFS/CTPS1/UROC1/ATP2B4/AGXT2/KYNU/FPGS/GLS2/SLC39A8/IYD/OTC/ACADSB/SLC25A13	48
BP	GO:0006520	cellular amino acid metabolic process	56/783	289/18903	1.89635823815261e-22	1.55248527763427e-19	1.30582562890333e-19	BHMT/TAT/SDS/KMO/UPB1/AASS/BAAT/ASS1/CTH/CPS1/HPD/GLYAT/TDO2/GPT2/HGD/PCCA/ARG1/MSRA/GOT1/BCKDHB/ACMSD/ASL/HAO1/SHMT1/IDO2/PEPD/MTHFD2L/MTHFD1/ACAT1/PAH/BHMT2/GLYATL1/ASPG/ALDH8A1/MAT1A/HAL/ADHFE1/RIDA/DGLUCY/DPYD/ALDH1A1/MTHFS/CTPS1/UROC1/ATP2B4/AGXT2/KYNU/PTS/FPGS/GLS2/SLC39A8/IYD/DIO1/OTC/ACADSB/SLC25A13	56
BP	GO:0009410	response to xenobiotic stimulus	67/783	432/18903	5.15912626195435e-21	3.62023259981711e-18	3.04504820724374e-18	CYP2C8/ADRA1A/CYP2B6/CYP3A4/CYP2C9/ACSM2B/ACSL1/CYP2C19/ABCB11/CYP2C18/CYP3A5/FBP1/CYP2A7/ASS1/CPS1/NNMT/SLC1A1/GLYAT/ACACB/AOX1/CYP2A6/ARG1/CPB2/SRD5A2/SRD5A1/FOXO3/HMGCS2/SLC1A2/CYP2E1/GPLD1/SULT2A1/PON3/HSP90AA1/SLCO2B1/NR1I2/POR/RORA/ABCG5/ABCG8/ADCY1/UGT2B15/SLC22A7/SLCO1B1/FMO4/FMO5/FOS/PLIN2/CTPS1/SLC10A1/SOD2/MAOB/CAT/NAT1/NFE2L2/PTK2B/ABCD3/JUN/RORC/CDH1/ABCB1/ABCC2/CRYZ/OTC/CES2/IGFBP2/NPAS2/UBE2B	67
BP	GO:0046394	carboxylic acid biosynthetic process	56/783	326/18903	7.59392793407017e-20	4.66267175151909e-17	3.92186409752966e-17	CYP2C8/CYP3A4/CYP2C9/BHMT/ACSM2B/ACSM2A/PRKAG2/SDS/ABCB11/INSIG1/KMO/UPB1/AASS/BAAT/ASS1/CTH/CPS1/SCP2/ALDH1A2/ACACB/SLC27A2/OSBPL9/GOT1/ACMSD/ASL/HAO1/CYP2E1/ABHD2/SHMT1/ACSM5/ELOVL6/MGLL/RGN/MTHFD2L/MTHFD1/CYP7B1/PAH/BHMT2/ALDH8A1/CYP4A11/PDK4/CBR4/SLC27A5/DPYD/ALDH1A1/ACADL/LIPG/ATP2B4/ABCD3/AGXT2/KYNU/CYP39A1/QKI/GLS2/OTC/AKR1C4	56
BP	GO:0016053	organic acid biosynthetic process	56/783	328/18903	1.0219889000146e-19	5.57778830763527e-17	4.69158647082728e-17	CYP2C8/CYP3A4/CYP2C9/BHMT/ACSM2B/ACSM2A/PRKAG2/SDS/ABCB11/INSIG1/KMO/UPB1/AASS/BAAT/ASS1/CTH/CPS1/SCP2/ALDH1A2/ACACB/SLC27A2/OSBPL9/GOT1/ACMSD/ASL/HAO1/CYP2E1/ABHD2/SHMT1/ACSM5/ELOVL6/MGLL/RGN/MTHFD2L/MTHFD1/CYP7B1/PAH/BHMT2/ALDH8A1/CYP4A11/PDK4/CBR4/SLC27A5/DPYD/ALDH1A1/ACADL/LIPG/ATP2B4/ABCD3/AGXT2/KYNU/CYP39A1/QKI/GLS2/OTC/AKR1C4	56
BP	GO:0006805	xenobiotic metabolic process	32/783	118/18903	7.57671557014158e-18	3.72168268805354e-15	3.13037985397955e-15	CYP2C8/CYP2B6/CYP3A4/CYP2C9/ACSM2B/ACSL1/CYP2C19/ABCB11/CYP2C18/CYP3A5/CYP2A7/GLYAT/AOX1/CYP2A6/CYP2E1/SULT2A1/PON3/SLCO2B1/NR1I2/POR/RORA/UGT2B15/SLC22A7/SLCO1B1/FMO4/FMO5/NAT1/RORC/ABCB1/ABCC2/CRYZ/CES2	32
